관광지명,주소,전화번호,장애인 화장실,엘리베이터,장애인주차구역,이용가능시설,경사로,숙박시설,장애인객실,위도,경도,사진
호텔 노블 스테이,대구광역시 중구 국채보상로123길 23,053-421-5007,있음,있음,있음,있음,있음,있음,있음,35.87171197,128.5972791,https://velog.velcdn.com/images/optimusprimee/post/7fb18d86-9fc1-460a-a920-c38df6e74441/image.jpg
미드타운 호스텔,대구시 중구 중앙대로77길 47,053-719-3450,,있음,,있음,,있음,,35.86836113,128.5908448,https://velog.velcdn.com/images/optimusprimee/post/65157b3c-379b-43ad-81fd-6199012d311c/image.jpg
코자자모텔,대구시 중구 국채보상로99길 52 ,053-254-0060,,있음,,있음,,있음,,35.87270874,128.5826701,https://velog.velcdn.com/images/optimusprimee/post/871305ea-2c82-4009-8db4-8e2ab25cf458/image.jpg
테크닉모텔,대구시 달서구 구마로11길 76,050-7984-3210,,있음,,있음,,있음,,35.84087849,128.5341311,https://velog.velcdn.com/images/optimusprimee/post/8d9bf9f0-9c26-47e6-beba-3ccf2b6b9766/image.jpg
꼬모모텔,대구시 북구 대학로 140,0507-600-0760,,있음,,있음,,있음,,35.89613832,128.6137545,https://velog.velcdn.com/images/optimusprimee/post/57200541-5ad4-4ab9-a012-33b728c603fd/image.jpg
2월호텔 대구앞산점,대구시 남구 대명로 235 ,053-626-7001,,있음,,있음,,있음,,35.84176687,128.5823976,https://velog.velcdn.com/images/optimusprimee/post/7f0044ef-987f-4399-a90c-c131d2e4c84b/image.jpg
리버틴호텔,대구시 중구 경상감영길 193,053-269-4000,,있음,있음,있음,,있음,있음,35.87215082,128.5980046,https://velog.velcdn.com/images/optimusprimee/post/c9f4c213-a781-4e2c-851d-752e2ae0cdd5/image.jpg
퀸벨호텔,대구시 동구 동촌로 200,053-282-1000,,있음,있음,있음,있음,있음,,35.8824103,128.6621091,https://velog.velcdn.com/images/optimusprimee/post/aa436189-3525-49a1-a9a7-0024117fdaf3/image.jpg
포유모텔,대구시 중구 동성로2길 18-19,053-426-0708,,있음,,있음,,있음,,35.8666772,128.5973402,https://velog.velcdn.com/images/optimusprimee/post/b6da31a6-9a29-4022-aa82-67429a7d1eb8/image.jpg
호텔더팰리스,대구광역시 남구 이천로 13 ,053-471-9911,,있음,있음,있음,,있음,,35.84227285,128.5976244,https://velog.velcdn.com/images/optimusprimee/post/f477341f-0455-4b5b-84fc-02b1232b6609/image.png
