관광지명,주소,엘리베이터,장애인주차구역,장애인 이용가능시설,경사로,관광안내소,장애인화장실,휠체어대여소,음식점,입식테이블,휠체어 리프트,카테고리,위도,경도,사진
앞산빨래터공원,대구광역시 남구 대명동 1501-2,있음,있음,있음,있음,있음,,,,,,공원,35.83213353,128.5656857,https://velog.velcdn.com/images/kiw0n/post/d254dfb0-b3b6-43b4-b0b5-2914257a09c7/image.jpeg
송해기념관,대구광역시 달성군 옥포읍 옥포로56길 5,있음,,있음,,있음,있음,,,,,박물관,35.77158263,128.4888646,https://velog.velcdn.com/images/kiw0n/post/8e3549ef-4ff7-4b1f-9cf1-5b2da43f2694/image.jpeg
대구생활문화센터,대구광역시 수성구 만촌로 153,있음,있음,있음,있음,있음,있음,,,,,문화센터,35.87230929,128.6401669,https://velog.velcdn.com/images/kiw0n/post/2e5edb8b-3106-4ba1-9fa6-02e048320afd/image.jpeg
대구교육박물관,대구광역시 북구 대동로1길 40,있음,있음,있음,있음,있음,있음,있음,,,,박물관,35.8973687,128.6118383,https://velog.velcdn.com/images/kiw0n/post/c2ff4d4a-cecd-4d08-a433-c668e9af7171/image.jpeg)
대구문화예술회관,대구광역시 달서구 공원순환로 201,있음,있음,있음,있음,,있음,,,,,문화센터,35.84473836,128.5580764,https://velog.velcdn.com/images/kiw0n/post/1621c991-3bd9-4f43-a3f0-c44702a3a191/image.jpeg
달성습지 생태학습관,대구광역시 달성군 화원읍 구라1길 88,있음,있음,있음,있음,있음,있음,,,,,학습관,35.81668378,128.4870559,https://velog.velcdn.com/images/kiw0n/post/c7269566-b48a-405c-94ac-82a2e37fedd4/image.jpeg
대구 국채보상운동기념관,대구광역시 중구 국채보상로 670,있음,,있음,있음,있음,있음,있음,,,,박물관,35.86930105,128.6017388,https://velog.velcdn.com/images/kiw0n/post/4a286fc1-8c07-4bce-a9f7-6e910769b99d/image.jpeg
대구 운암지 수변공원,대구광역시 북구 구암동 349,,있음,있음,있음,,있음,,,,,공원,35.93243404,128.5675098,https://velog.velcdn.com/images/kiw0n/post/05b9b728-0194-4bd8-b474-685cc73c243b/image.jpeg
충혼탑,대구광역시 남구 앞산순환로 540,있음,있음,있음,,,있음,,,,,문화재,35.83225553,128.5837435,https://velog.velcdn.com/images/kiw0n/post/339fc080-9f22-47e8-8f30-469ea03e7e8e/image.jpeg
대구 엑스코(동관),대구광역시 북구 유통단지로24길 6-7,있음,있음,있음,,있음,있음,,,,,전시장,35.907338,128.6166946,https://velog.velcdn.com/images/kiw0n/post/0aca4dfd-e57e-4e30-9108-ad6fef5f48b0/image.jpeg
대구섬유박물관,대구광역시 동구 팔공로 227,있음,있음,있음,있음,있음,있음,,,,,박물관,35.9190995,128.640295,https://velog.velcdn.com/images/kiw0n/post/aa180415-aa49-4dc4-b95e-782acca1d9ba/image.jpeg
